lr | lambda | inverse_beta | M | wdecay | opt-rate| regret
0.05 | 0.01| 0.0001 | 50 | 0.0001 | 0.113 | 0.18499320741120057
0.05 | 0.01| 0.001 | 20 | 0.0001 | 0.10733333333333332 | 0.24645357415979013
0.01 | 0.01| 1e-06 | 1 | 0.1 | 0.10054761904761908 | 0.24137690302441053
0.01 | 0.01| 1e-06 | 10 | 0.1 | 0.10151428571428574 | 0.243258159924905
0.05 | 0.01| 0.0001 | 100 | 0.0001 | 0.111 | 0.17492382931768535
0.01 | 0.01| 1e-06 | 20 | 0.1 | 0.09943293650793653 | 0.24308408606613433
0.05 | 0.01| 0.001 | 50 | 0.0001 | 0.10615912698412697 | 0.2535159580125637
0.01 | 0.01| 1e-05 | 1 | 0.1 | 0.11141666666666666 | 0.2258310582749431
0.01 | 0.01| 1e-05 | 10 | 0.1 | 0.107 | 0.2417623348019285
0.01 | 0.01| 1e-05 | 20 | 0.1 | 0.10925 | 0.23397841016948145
0.05 | 0.01| 0.001 | 100 | 0.0001 | 0.09989325396825398 | 0.24558447973344466
0.01 | 0.01| 1e-06 | 50 | 0.1 | 0.10005396825396828 | 0.24185301973137438
0.01 | 0.01| 0.0001 | 1 | 0.1 | 0.1065 | 0.2407542047877701
0.01 | 0.01| 0.0001 | 10 | 0.1 | 0.103 | 0.24553578199178788
0.01 | 0.01| 0.0001 | 20 | 0.1 | 0.116 | 0.23425783230440594
0.01 | 0.01| 1e-06 | 100 | 0.1 | 0.10000000000000002 | 0.2420084686883025
0.01 | 0.01| 1e-05 | 50 | 0.1 | 0.09558333333333333 | 0.21486209224515962
0.01 | 0.01| 0.001 | 1 | 0.1 | 0.109 | 0.24939084798075953
0.01 | 0.01| 0.001 | 10 | 0.1 | 0.102 | 0.23807468233452317
0.01 | 0.01| 1e-05 | 100 | 0.1 | 0.10083333333333333 | 0.2471338225238094
0.01 | 0.01| 0.001 | 20 | 0.1 | 0.101 | 0.24143243779798645
0.01 | 0.01| 0.0001 | 50 | 0.1 | 0.091 | 0.239968692635009
0.01 | 0.01| 1e-06 | 1 | 0.01 | 0.119 | 0.21899323610879692
0.01 | 0.01| 1e-06 | 10 | 0.01 | 0.091 | 0.2953712260318357
0.01 | 0.01| 0.0001 | 100 | 0.1 | 0.109 | 0.2538023518355008
0.01 | 0.01| 1e-06 | 20 | 0.01 | 0.1045 | 0.25033094529544736
0.01 | 0.01| 0.001 | 50 | 0.1 | 0.094 | 0.24918683465523145
0.01 | 0.01| 1e-05 | 1 | 0.01 | 0.1165 | 0.2217485695434715
0.01 | 0.01| 1e-05 | 10 | 0.01 | 0.085 | 0.2956306950410727
0.01 | 0.01| 0.001 | 100 | 0.1 | 0.105 | 0.2374661597991192
0.01 | 0.01| 1e-05 | 20 | 0.01 | 0.1175 | 0.21906481063882283
0.01 | 0.01| 1e-06 | 50 | 0.01 | 0.138 | 0.17066325344826774
0.01 | 0.01| 0.0001 | 1 | 0.01 | 0.096 | 0.24069146629140287
0.01 | 0.01| 0.0001 | 10 | 0.01 | 0.103 | 0.22405677907677837
0.01 | 0.01| 1e-06 | 100 | 0.01 | 0.175 | 0.12238540307971792
0.01 | 0.01| 0.0001 | 20 | 0.01 | 0.1 | 0.22559495453399933
0.01 | 0.01| 1e-05 | 50 | 0.01 | 0.105 | 0.21456777794153112
0.01 | 0.01| 0.001 | 1 | 0.01 | 0.094 | 0.23292497221858077
0.01 | 0.01| 0.001 | 10 | 0.01 | 0.093 | 0.2355060473669654
0.01 | 0.01| 0.001 | 20 | 0.01 | 0.103 | 0.23798593546957886
0.01 | 0.01| 1e-05 | 100 | 0.01 | 0.138 | 0.1902882137730446
0.01 | 0.01| 0.0001 | 50 | 0.01 | 0.114 | 0.23075960204400262
0.01 | 0.01| 1e-06 | 1 | 0.001 | 0.132 | 0.21186340240465024
0.01 | 0.01| 1e-06 | 10 | 0.001 | 0.113 | 0.22614742286299577
0.01 | 0.01| 0.0001 | 100 | 0.01 | 0.09 | 0.23560878426527215
0.01 | 0.01| 0.001 | 50 | 0.01 | 0.1 | 0.22614899581873962
0.01 | 0.01| 1e-06 | 20 | 0.001 | 0.137 | 0.18151485524211472
0.01 | 0.01| 1e-05 | 1 | 0.001 | 0.119 | 0.21001543032886819
0.01 | 0.01| 1e-05 | 10 | 0.001 | 0.0985 | 0.25406101096774514
0.01 | 0.01| 0.001 | 100 | 0.01 | 0.103 | 0.22980987277127998
0.01 | 0.01| 1e-05 | 20 | 0.001 | 0.128 | 0.18260777833329822
0.01 | 0.01| 1e-06 | 50 | 0.001 | 0.212 | 0.08704283096506119
0.01 | 0.01| 0.0001 | 1 | 0.001 | 0.1035 | 0.22275034318541417
0.01 | 0.01| 0.0001 | 10 | 0.001 | 0.096 | 0.23149023375299713
0.01 | 0.01| 1e-06 | 100 | 0.001 | 0.215 | 0.06843932978951064
0.01 | 0.01| 0.0001 | 20 | 0.001 | 0.1025 | 0.21159899903729337
0.01 | 0.01| 1e-05 | 50 | 0.001 | 0.175 | 0.11536017283173211
0.01 | 0.01| 0.001 | 1 | 0.001 | 0.086 | 0.24365970521767738
0.01 | 0.01| 0.001 | 10 | 0.001 | 0.09 | 0.23844508281128818
0.01 | 0.01| 1e-05 | 100 | 0.001 | 0.18 | 0.10191325549048147
0.01 | 0.01| 0.001 | 20 | 0.001 | 0.115 | 0.23018546710341456
0.01 | 0.01| 0.0001 | 50 | 0.001 | 0.104 | 0.2089278261337211
0.01 | 0.01| 1e-06 | 1 | 0.0001 | 0.134 | 0.20851968729851805
0.01 | 0.01| 1e-06 | 10 | 0.0001 | 0.117 | 0.22173291520997684
0.01 | 0.01| 0.0001 | 100 | 0.001 | 0.114 | 0.2094414925084414
0.01 | 0.01| 1e-06 | 20 | 0.0001 | 0.145 | 0.17075240099564304
0.01 | 0.01| 0.001 | 50 | 0.001 | 0.093 | 0.24779397179546245
0.01 | 0.01| 1e-05 | 1 | 0.0001 | 0.119 | 0.20875094783987122
0.01 | 0.01| 1e-05 | 10 | 0.0001 | 0.094 | 0.24835239188043964
0.01 | 0.01| 0.001 | 100 | 0.001 | 0.108 | 0.2351588626959122
0.01 | 0.01| 1e-05 | 20 | 0.0001 | 0.131 | 0.17518389601797701
0.01 | 0.01| 1e-06 | 50 | 0.0001 | 0.205 | 0.08740766614273497
0.01 | 0.01| 0.0001 | 1 | 0.0001 | 0.103 | 0.21916417915980577
0.01 | 0.01| 0.0001 | 10 | 0.0001 | 0.096 | 0.23043738182550494
0.01 | 0.01| 1e-06 | 100 | 0.0001 | 0.199 | 0.0789035615323292
0.01 | 0.01| 1e-05 | 50 | 0.0001 | 0.1775 | 0.11680900068087618
0.01 | 0.01| 0.0001 | 20 | 0.0001 | 0.104 | 0.20761104065441813
0.01 | 0.01| 0.001 | 1 | 0.0001 | 0.094 | 0.24499387265612066
0.01 | 0.01| 0.001 | 10 | 0.0001 | 0.092 | 0.23438445226132962
0.01 | 0.01| 1e-05 | 100 | 0.0001 | 0.181 | 0.09904231892909551
0.01 | 0.01| 0.001 | 20 | 0.0001 | 0.109 | 0.233405713699349
0.01 | 0.01| 0.0001 | 50 | 0.0001 | 0.108 | 0.19828263162036983
0.001 | 0.01| 1e-06 | 1 | 0.1 | 0.086 | 0.26684595727817356
0.001 | 0.01| 1e-06 | 10 | 0.1 | 0.088 | 0.2674153102307454
0.01 | 0.01| 0.0001 | 100 | 0.0001 | 0.113 | 0.2094402644291503
0.001 | 0.01| 1e-06 | 20 | 0.1 | 0.1015 | 0.23552362822843878
0.01 | 0.01| 0.001 | 50 | 0.0001 | 0.0925 | 0.23245542397500127
0.001 | 0.01| 1e-05 | 1 | 0.1 | 0.096 | 0.26356096062100887
0.001 | 0.01| 1e-05 | 10 | 0.1 | 0.0845 | 0.2655506006372141
0.01 | 0.01| 0.001 | 100 | 0.0001 | 0.091 | 0.23713624299279693
0.001 | 0.01| 1e-05 | 20 | 0.1 | 0.095 | 0.22707822807777409
0.001 | 0.01| 1e-06 | 50 | 0.1 | 0.1045 | 0.20913477105763667
0.001 | 0.01| 0.0001 | 1 | 0.1 | 0.099 | 0.25111232627031854
0.001 | 0.01| 0.0001 | 10 | 0.1 | 0.094 | 0.24068569682775595
0.001 | 0.01| 1e-06 | 100 | 0.1 | 0.09833333333333333 | 0.23350834817055197
0.001 | 0.01| 0.0001 | 20 | 0.1 | 0.0915 | 0.24523086054803195
0.001 | 0.01| 1e-05 | 50 | 0.1 | 0.103 | 0.23083440696930427
0.001 | 0.01| 0.001 | 1 | 0.1 | 0.086 | 0.2678828336461131
0.001 | 0.01| 0.001 | 10 | 0.1 | 0.094 | 0.23883383303028205
0.001 | 0.01| 1e-05 | 100 | 0.1 | 0.09566666666666666 | 0.24180682783221794
0.001 | 0.01| 0.001 | 20 | 0.1 | 0.089 | 0.25592108489463117
0.001 | 0.01| 0.0001 | 50 | 0.1 | 0.115 | 0.2294154099336996
0.001 | 0.01| 1e-06 | 1 | 0.01 | 0.102 | 0.2607954451413522
0.001 | 0.01| 1e-06 | 10 | 0.01 | 0.089 | 0.2741077650732294
0.001 | 0.01| 0.0001 | 100 | 0.1 | 0.1 | 0.22911160046951567
0.001 | 0.01| 1e-06 | 20 | 0.01 | 0.093 | 0.22377202456363907
0.001 | 0.01| 0.001 | 50 | 0.1 | 0.104 | 0.2630940357409478
0.001 | 0.01| 1e-05 | 1 | 0.01 | 0.093 | 0.27040779030689244
0.001 | 0.01| 1e-05 | 10 | 0.01 | 0.0815 | 0.27415362786118597
0.001 | 0.01| 0.001 | 100 | 0.1 | 0.08 | 0.24271223203299377
0.001 | 0.01| 1e-05 | 20 | 0.01 | 0.098 | 0.21648573994406195
0.001 | 0.01| 1e-06 | 50 | 0.01 | 0.105 | 0.21346002196772193
0.001 | 0.01| 0.0001 | 1 | 0.01 | 0.099 | 0.23963604931863428
0.001 | 0.01| 0.0001 | 10 | 0.01 | 0.096 | 0.2530325721407073
0.001 | 0.01| 1e-06 | 100 | 0.01 | 0.096 | 0.22862091888173472
0.001 | 0.01| 0.0001 | 20 | 0.01 | 0.09 | 0.24119487466014597
0.001 | 0.01| 1e-05 | 50 | 0.01 | 0.108 | 0.22178981826464075
0.001 | 0.01| 0.001 | 1 | 0.01 | 0.097 | 0.24759685613369561
0.001 | 0.01| 0.001 | 10 | 0.01 | 0.103 | 0.22799894980354474
0.001 | 0.01| 1e-05 | 100 | 0.01 | 0.0955 | 0.22378477254495596
0.001 | 0.01| 0.001 | 20 | 0.01 | 0.097 | 0.23671053334671716
0.001 | 0.01| 0.0001 | 50 | 0.01 | 0.101 | 0.23658584980679345
0.001 | 0.01| 1e-06 | 1 | 0.001 | 0.1055 | 0.26375737348849954
0.001 | 0.01| 1e-06 | 10 | 0.001 | 0.094 | 0.2721311364882438
0.001 | 0.01| 0.0001 | 100 | 0.01 | 0.0925 | 0.22123353029751353
0.001 | 0.01| 1e-06 | 20 | 0.001 | 0.0895 | 0.22384574450260025
0.001 | 0.01| 0.001 | 50 | 0.01 | 0.091 | 0.2531771152767634
0.001 | 0.01| 1e-05 | 1 | 0.001 | 0.1005 | 0.266829531347236
0.001 | 0.01| 1e-05 | 10 | 0.001 | 0.084 | 0.2770310394546164
